normalTime ,criticalTime ,miscTime ,totTime  ,borderSize
         0 ,    0.174939 ,       0 ,0.174939 ,  68.6274
         0 ,    0.126703 ,       0 ,0.126703 ,  39.799
         0 ,    0.175734 ,       0 ,0.175734 ,  72.7279
         0 ,    0.119929 ,       0 ,0.119929 ,  29.3137
         0 ,    1.15632  ,       0 ,1.15632  , 124.326
         0 ,    0.147529 ,       0 ,0.147529 ,  41.6274
         0 ,    0.211938 ,       0 ,0.211938 ,  54.9411
         0 ,    0.255234 ,       0 ,0.255234 ,  46.0416
         0 ,    2.82806  ,       0 ,2.82806  , 108.983
         0 ,    1.07549  ,       0 ,1.07549  ,  77.0122
         0 ,    0.133093 ,       0 ,0.133093 ,  42.9706
         0 ,    0.198128 ,       0 ,0.198128 ,  66.6985
         0 ,    0.352311 ,       0 ,0.352311 ,  69.4264
         0 ,    0.359546 ,       0 ,0.359546 ,  58.6274
         0 ,    0.136843 ,       0 ,0.136843 ,  49.799
         0 ,    0.678509 ,       0 ,0.678509 ,  92.7696
         0 ,    0.086111 ,       0 ,0.086111 ,  33.4853
         0 ,    0.903452 ,       0 ,0.903452 , 108.598
         0 ,    0.582504 ,       0 ,0.582504 ,  86.5269
         0 ,    0.14637  ,       0 ,0.14637  ,  47.4558
         0 ,    2.51313  ,       0 ,2.51313  ,  84.4975
         0 ,    0.241078 ,       0 ,0.241078 ,  43.9706
         0 ,    0.439352 ,       0 ,0.439352 ,  61.7696
         0 ,    0.954659 ,       0 ,0.954659 ,  89.7401
         0 ,    0.152936 ,       0 ,0.152936 ,  53.5563
         0 ,    0.362947 ,       0 ,0.362947 ,  70.2548
         0 ,    0.752555 ,       0 ,0.752555 ,  76.1838
         0 ,    0.296997 ,       0 ,0.296997 ,  80.2843
         0 ,    0.126898 ,       0 ,0.126898 ,  32.9706
         0 ,    0.114286 ,       0 ,0.114286 ,  34.799
         0 ,    0.139487 ,       0 ,0.139487 ,  62.9706
         0 ,    0.307779 ,       0 ,0.307779 ,  56.0416
         0 ,    0.116668 ,       0 ,0.116668 ,  35.3848
         0 ,    1.20533  ,       0 ,1.20533  ,  85.5685
         0 ,    0.515419 ,       0 ,0.515419 ,  56.8701
         0 ,    0.712485 ,       0 ,0.712485 ,  76.1838
         0 ,    1.33707  ,       0 ,1.33707  ,  78.4264
         0 ,    0.086999 ,       0 ,0.086999 ,  24.4853
         0 ,    0.508742 ,       0 ,0.508742 ,  75.8406
         0 ,    0.164536 ,       0 ,0.164536 ,  60.7696
         0 ,    0.151847 ,       0 ,0.151847 ,  47.6985
         0 ,    0.319459 ,       0 ,0.319459 ,  50.4558
         0 ,    0.08273  ,       0 ,0.08273  ,  31.1421
         0 ,    0.575729 ,       0 ,0.575729 ,  72.5269
         0 ,    0.150438 ,       0 ,0.150438 ,  55.9706
         0 ,    0.106816 ,       0 ,0.106816 ,  29.8995
         0 ,    0.13732  ,       0 ,0.13732  ,  33.9706
         0 ,    1.46229  ,       0 ,1.46229  ,  89.2548
         0 ,    0.195022 ,       0 ,0.195022 ,  54.5269
         0 ,    0.180294 ,       0 ,0.180294 ,  48.3848
         0 ,    0.075335 ,       0 ,0.075335 ,  34.3848
         0 ,    0.234311 ,       0 ,0.234311 ,  53.3848
         0 ,    0.407318 ,       0 ,0.407318 ,  83.8701
         0 ,    0.130021 ,       0 ,0.130021 ,  45.4558
         0 ,    0.435281 ,       0 ,0.435281 ,  67.1838
         0 ,    0.345303 ,       0 ,0.345303 ,  43.799
         0 ,    0.184606 ,       0 ,0.184606 ,  45.1421
         0 ,    0.749845 ,       0 ,0.749845 ,  75.7696
         0 ,    1.91068  ,       0 ,1.91068  ,  98.1838
         0 ,    1.01159  ,       0 ,1.01159  ,  80.3553
         0 ,    0.143043 ,       0 ,0.143043 ,  54.6985
         0 ,    0.251759 ,       0 ,0.251759 ,  73.1838
         0 ,    0.26133  ,       0 ,0.26133  ,  61.3553
         0 ,    0.111444 ,       0 ,0.111444 ,  36.1421
         0 ,    2.3739   ,       0 ,2.3739   , 112.669
         0 ,    0.23357  ,       0 ,0.23357  ,  55.7696
         0 ,    1.40955  ,       0 ,1.40955  ,  93.7401
         0 ,    0.679131 ,       0 ,0.679131 ,  77.1838
         0 ,    0.420656 ,       0 ,0.420656 ,  66.9411
         0 ,    0.128691 ,       0 ,0.128691 ,  48.9706
         0 ,    0.159274 ,       0 ,0.159274 ,  54.2843
         0 ,    0.630548 ,       0 ,0.630548 ,  87.598
         0 ,    0.134545 ,       0 ,0.134545 ,  62.799
         0 ,    0.942989 ,       0 ,0.942989 ,  84.8406
         0 ,    0.094224 ,       0 ,0.094224 ,  35.1421
         0 ,    0.11273  ,       0 ,0.11273  ,  40.3137
         0 ,    0.116856 ,       0 ,0.116856 ,  37.5563
         0 ,    0.82127  ,       0 ,0.82127  ,  91.8112
         0 ,    0.118773 ,       0 ,0.118773 ,  33.9706
         0 ,    0.903942 ,       0 ,0.903942 ,  70.1838
         0 ,    0.100577 ,       0 ,0.100577 ,  40.6274
         0 ,    0.222876 ,       0 ,0.222876 ,  51.3848
         0 ,    0.268589 ,       0 ,0.268589 ,  56.3553
         0 ,    0.484951 ,       0 ,0.484951 ,  86.5685
         0 ,    0.172499 ,       0 ,0.172499 ,  56.6274
         0 ,    0.160687 ,       0 ,0.160687 ,  52.8701
         0 ,    0.212446 ,       0 ,0.212446 ,  45.2132
         0 ,    0.283701 ,       0 ,0.283701 ,  53.2132
         0 ,    0.100969 ,       0 ,0.100969 ,  48.0416
         0 ,    0.193119 ,       0 ,0.193119 ,  53.4558
         0 ,    0.143002 ,       0 ,0.143002 ,  53.0416
         0 ,    0.167463 ,       0 ,0.167463 ,  54.0416
         0 ,    0.951524 ,       0 ,0.951524 ,  75.1838
         0 ,    0.271733 ,       0 ,0.271733 ,  61.3553
         0 ,    0.177972 ,       0 ,0.177972 ,  37.9706
         0 ,    0.139972 ,       0 ,0.139972 ,  40.3848
         0 ,    0.316602 ,       0 ,0.316602 ,  55.4558
         0 ,    0.161353 ,       0 ,0.161353 ,  33.3848
         0 ,    0.255043 ,       0 ,0.255043 ,  76.1838
         0 ,    0.470487 ,       0 ,0.470487 ,  71.5269
         0 ,    0.172759 ,       0 ,0.172759 ,  58.4558
         0 ,    0.192963 ,       0 ,0.192963 ,  72.2548
         0 ,    0.552121 ,       0 ,0.552121 ,  70.598
         0 ,    0.105852 ,       0 ,0.105852 ,  47.5563
         0 ,    0.189089 ,       0 ,0.189089 ,  67.3553
         0 ,    0.192508 ,       0 ,0.192508 ,  63.3553
         0 ,    0.276272 ,       0 ,0.276272 ,  64.0122
         0 ,    0.108274 ,       0 ,0.108274 ,  32.9706
         0 ,    0.107138 ,       0 ,0.107138 ,  44.8995
         0 ,    0.235575 ,       0 ,0.235575 ,  57.2132
         0 ,    0.272627 ,       0 ,0.272627 ,  46.9706
         0 ,    0.34766  ,       0 ,0.34766  ,  60.2132
         0 ,    0.509401 ,       0 ,0.509401 ,  84.9411
         0 ,    0.425467 ,       0 ,0.425467 ,  60.2843
         0 ,    0.138157 ,       0 ,0.138157 ,  50.2132
         0 ,    0.325272 ,       0 ,0.325272 ,  79.1838
         0 ,    0.291869 ,       0 ,0.291869 ,  49.799
         0 ,    1.44642  ,       0 ,1.44642  ,  94.669
         0 ,    0.303773 ,       0 ,0.303773 ,  77.7696
         0 ,    0.297165 ,       0 ,0.297165 ,  69.1838
         0 ,    1.34627  ,       0 ,1.34627  ,  89.669
         0 ,    0.362947 ,       0 ,0.362947 ,  71.0416
         0 ,    0.18833  ,       0 ,0.18833  ,  37.6274
         0 ,    0.073895 ,       0 ,0.073895 ,  38.3137
         0 ,    0.143609 ,       0 ,0.143609 ,  44.9706
         0 ,    0.136214 ,       0 ,0.136214 ,  55.8995
         0 ,    0.543384 ,       0 ,0.543384 ,  64.7696
         0 ,    0.195203 ,       0 ,0.195203 ,  40.6274
         0 ,    0.7658   ,       0 ,0.7658   ,  82.1127
         0 ,    0.147343 ,       0 ,0.147343 ,  55.9411
         0 ,    1.05649  ,       0 ,1.05649  ,  86.9117
         0 ,    0.34321  ,       0 ,0.34321  ,  65.3553
         0 ,    0.115527 ,       0 ,0.115527 ,  43.4558
         0 ,    0.634199 ,       0 ,0.634199 ,  75.0122
         0 ,    0.553491 ,       0 ,0.553491 ,  63.4558
         0 ,    2.66247  ,       0 ,2.66247  , 127.983
         0 ,    0.128814 ,       0 ,0.128814 ,  38.1421
         0 ,    0.335107 ,       0 ,0.335107 ,  77.3553
         0 ,    0.347511 ,       0 ,0.347511 ,  63.6985
         0 ,    0.312748 ,       0 ,0.312748 ,  64.6985
         0 ,    0.281019 ,       0 ,0.281019 ,  67.0122
         0 ,    0.103303 ,       0 ,0.103303 ,  33.8995
         0 ,    0.164485 ,       0 ,0.164485 ,  45.2132
         0 ,    0.120643 ,       0 ,0.120643 ,  36.9706
         0 ,    0.183257 ,       0 ,0.183257 ,  67.1838
         0 ,    0.185412 ,       0 ,0.185412 ,  44.9706
         0 ,    0.14239  ,       0 ,0.14239  ,  49.2132
         0 ,    0.303674 ,       0 ,0.303674 ,  58.1127
         0 ,    0.583136 ,       0 ,0.583136 ,  88.2548
         0 ,    0.258796 ,       0 ,0.258796 ,  75.0122
         0 ,    0.113285 ,       0 ,0.113285 ,  32.1421
         0 ,    0.428898 ,       0 ,0.428898 ,  65.0122
         0 ,    0.142543 ,       0 ,0.142543 ,  43.799
         0 ,    0.108208 ,       0 ,0.108208 ,  35.8995
         0 ,    0.255063 ,       0 ,0.255063 ,  51.2132
         0 ,    0.23376  ,       0 ,0.23376  ,  62.1127
         0 ,    0.630024 ,       0 ,0.630024 ,  85.669
         0 ,    0.489934 ,       0 ,0.489934 ,  56.6985
         0 ,    1.02739  ,       0 ,1.02739  ,  91.1838
         0 ,    0.239781 ,       0 ,0.239781 ,  59.2132
         0 ,    0.354945 ,       0 ,0.354945 ,  62.6985
         0 ,    0.481975 ,       0 ,0.481975 ,  79.5269
         0 ,    0.479056 ,       0 ,0.479056 ,  55.2843
         0 ,    0.101082 ,       0 ,0.101082 ,  49.4558
         0 ,    0.10226  ,       0 ,0.10226  ,  33.3137
         0 ,    0.194686 ,       0 ,0.194686 ,  46.6274
         0 ,    0.116602 ,       0 ,0.116602 ,  36.3848
         0 ,    0.482626 ,       0 ,0.482626 ,  59.4558
         0 ,    0.116406 ,       0 ,0.116406 ,  44.9706
         0 ,    0.130948 ,       0 ,0.130948 ,  38.3848
         0 ,    0.124737 ,       0 ,0.124737 ,  47.3137
         0 ,    0.664059 ,       0 ,0.664059 ,  73.3553
         0 ,    0.09693  ,       0 ,0.09693  ,  34.9706
         0 ,    2.61828  ,       0 ,2.61828  ,  96.3259
         0 ,    0.09702  ,       0 ,0.09702  ,  33.8995
         0 ,    0.290448 ,       0 ,0.290448 ,  52.5563
         0 ,    0.434099 ,       0 ,0.434099 ,  71.1127
         0 ,    0.192335 ,       0 ,0.192335 ,  59.799
         0 ,    0.897108 ,       0 ,0.897108 ,  99.8823
         0 ,    0.150246 ,       0 ,0.150246 ,  46.6985
         0 ,    0.131928 ,       0 ,0.131928 ,  42.6274
         0 ,    0.14179  ,       0 ,0.14179  ,  50.1127
         0 ,    0.475948 ,       0 ,0.475948 ,  73.4558
         0 ,    0.117216 ,       0 ,0.117216 ,  39.9706
         0 ,    0.333928 ,       0 ,0.333928 ,  57.9706
         0 ,    0.93057  ,       0 ,0.93057  ,  85.0833
         0 ,    2.7845   ,       0 ,2.7845   , 133.811
         0 ,    0.514225 ,       0 ,0.514225 ,  59.8701
         0 ,    0.125433 ,       0 ,0.125433 ,  39.9706
         0 ,    0.368398 ,       0 ,0.368398 ,  68.4264
         0 ,    0.254774 ,       0 ,0.254774 ,  55.0416
         0 ,    0.270765 ,       0 ,0.270765 ,  53.2132
         0 ,    0.227317 ,       0 ,0.227317 ,  55.4558
         0 ,    0.28137  ,       0 ,0.28137  ,  50.1127
         0 ,    0.334317 ,       0 ,0.334317 ,  55.6985
         0 ,    0.172132 ,       0 ,0.172132 ,  56.8701
         0 ,    1.03283  ,       0 ,1.03283  ,  88.0122
         0 ,    0.100052 ,       0 ,0.100052 ,  34.9706
         0 ,    0.243378 ,       0 ,0.243378 ,  50.3848
         0 ,    0.412478 ,       0 ,0.412478 ,  62.2843
         0 ,    0.811857 ,       0 ,0.811857 , 101.569
         0 ,    0.153448 ,       0 ,0.153448 ,  42.5563
         0 ,    0.097422 ,       0 ,0.097422 ,  39.5563
         0 ,    0.142676 ,       0 ,0.142676 ,  57.1838
         0 ,    0.105266 ,       0 ,0.105266 ,  42.0711
         0 ,    0.514133 ,       0 ,0.514133 ,  60.5269
         0 ,    0.264086 ,       0 ,0.264086 ,  70.6274
         0 ,    0.200441 ,       0 ,0.200441 ,  56.7696
         0 ,    0.223159 ,       0 ,0.223159 ,  57.1127
         0 ,    0.06183  ,       0 ,0.06183  ,   4.24264
         0 ,    1.95355  ,       0 ,1.95355  ,  93.0833
         0 ,    2.32191  ,       0 ,2.32191  , 107.083
         0 ,    0.237978 ,       0 ,0.237978 ,  47.9706
         0 ,    0.350368 ,       0 ,0.350368 ,  59.6985
         0 ,    0.534732 ,       0 ,0.534732 ,  98.8112
         0 ,    0.30743  ,       0 ,0.30743  ,  65.2843
         0 ,    0.196727 ,       0 ,0.196727 ,  54.3848
         0 ,    1.54098  ,       0 ,1.54098  ,  78.669
         0 ,    0.190818 ,       0 ,0.190818 ,  63.2132
         0 ,    0.363242 ,       0 ,0.363242 ,  77.2548
         0 ,    0.215271 ,       0 ,0.215271 ,  51.9706
         0 ,    0.117796 ,       0 ,0.117796 ,  50.2132
         0 ,    0.074755 ,       0 ,0.074755 ,  25.5563
         0 ,    0.339976 ,       0 ,0.339976 ,  61.2132
         0 ,    2.41468  ,       0 ,2.41468  ,  93.0122
         0 ,    0.340995 ,       0 ,0.340995 ,  51.6985
         0 ,    0.239371 ,       0 ,0.239371 ,  54.5269
         0 ,    0.172597 ,       0 ,0.172597 ,  83.799
         0 ,    0.171072 ,       0 ,0.171072 ,  53.1127
         0 ,    0.11342  ,       0 ,0.11342  ,  44.7279
         0 ,    4.84413  ,       0 ,4.84413  , 161.51
         0 ,    0.218804 ,       0 ,0.218804 ,  44.6274
         0 ,    0.125466 ,       0 ,0.125466 ,  38.9706
         0 ,    0.138493 ,       0 ,0.138493 ,  49.6985
         0 ,    0.134256 ,       0 ,0.134256 ,  43.3137
         0 ,    0.126447 ,       0 ,0.126447 ,  43.2132
         0 ,    0.10272  ,       0 ,0.10272  ,  41.799
         0 ,    0.286039 ,       0 ,0.286039 ,  83.7401
         0 ,    0.14585  ,       0 ,0.14585  ,  41.2132
         0 ,    0.09901  ,       0 ,0.09901  ,  43.1421
         0 ,    0.242466 ,       0 ,0.242466 ,  53.2132
         0 ,    0.258335 ,       0 ,0.258335 ,  69.4558
         0 ,    0.124007 ,       0 ,0.124007 ,  41.7279
         0 ,    0.079342 ,       0 ,0.079342 ,  32.6274
         0 ,    0.236494 ,       0 ,0.236494 ,  48.2132
         0 ,    0.152661 ,       0 ,0.152661 ,  46.4558
         0 ,    0.233405 ,       0 ,0.233405 ,  61.8701
         0 ,    0.403478 ,       0 ,0.403478 ,  63.6985
         0 ,    1.63511  ,       0 ,1.63511  ,  84.0833
         0 ,    0.151479 ,       0 ,0.151479 ,  42.3848
         0 ,    0.568061 ,       0 ,0.568061 ,  73.4558
         0 ,    0.178355 ,       0 ,0.178355 ,  62.799
         0 ,    0.125087 ,       0 ,0.125087 ,  34.3137
         0 ,    0.264436 ,       0 ,0.264436 ,  41.9706
         0 ,    0.159995 ,       0 ,0.159995 ,  52.2843
         0 ,    0.125064 ,       0 ,0.125064 ,  30.8995
