normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 72.769553 ,Find Concave Points ,Visibility Graph Init ,A* Search ,Insert Vertical Key Point
         0 ,    1.00038  ,       0 ,1.00038  ,  74.9411  ,                            0.088122 ,           0.000899 ,             0.000729 , 0.909948 ,                 0.000684
         0 ,    0.121021 ,       0 ,0.121021 ,  34.9706  ,                            0.053847 ,           0.000408 ,             0.000301 , 0.066189 ,                 0.000276
         0 ,    0.452731 ,       0 ,0.452731 ,  90.3259  ,                            0.086402 ,           0.000673 ,             0.000474 , 0.364754 ,                 0.000428
         0 ,    0.427011 ,       0 ,0.427011 ,  92.0122  ,                            0.102516 ,           0.00092  ,             0.000674 , 0.32263  ,                 0.000271
         0 ,    3.47717  ,       0 ,3.47717  , 129.397   ,                            0.096466 ,           0.001479 ,             0.001373 , 3.3766   ,                 0.001254
         0 ,    0.151735 ,       0 ,0.151735 ,  41.2132  ,                            0.054045 ,           0.000661 ,             0.000857 , 0.095878 ,                 0.000294
         0 ,    0.148841 ,       0 ,0.148841 ,  38.7279  ,                            0.066482 ,           0.000471 ,             0.000337 , 0.081251 ,                 0.0003
         0 ,    3.38923  ,       0 ,3.38923  ,  98.4975  ,                            0.094874 ,           0.000807 ,             0.000612 , 3.29172  ,                 0.001215
         0 ,    0.130673 ,       0 ,0.130673 ,  44.5563  ,                            0.053674 ,           0.000404 ,             0.000534 , 0.075656 ,                 0.000405
         0 ,    0.169576 ,       0 ,0.169576 ,  38.8701  ,                            0.060564 ,           0.000583 ,             0.000354 , 0.107639 ,                 0.000436
         0 ,    0.439434 ,       0 ,0.439434 ,  52.6274  ,                            0.075995 ,           0.000688 ,             0.000516 , 0.361621 ,                 0.000614
         0 ,    0.303557 ,       0 ,0.303557 ,  76.4558  ,                            0.085424 ,           0.000585 ,             0.000369 , 0.216859 ,                 0.00032
         0 ,    0.112285 ,       0 ,0.112285 ,  38.9706  ,                            0.043711 ,           0.000503 ,             0.000386 , 0.067255 ,                 0.00043
