Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
Ground Truth,1542.2068333333334,35000.2,1.0,1.0,1.0,1.0
KCFRC keypoint,79.51836891025641,110.698,0.9739423076923077,0.9973075564971752,0.9047771593320787,0.9487917025341703
KCFRC conv,2.479083983974359,3.84405,0.973005698005698,0.9980621588438041,0.9005726184279021,0.94681448217794
RRT-Connect,854.5937318269231,4757.79,0.9742628205128205,0.998968038683807,0.9044701611073293,0.9493733844246275
STOMP,914.9882541666668,6091.55,0.962667378917379,0.9994264455123236,0.8605694149681656,0.9248147802824377
FEC,9.898356900641025,19.2494,0.9264707977207978,0.9999447289878035,0.7244490716640638,0.8401897876885686
