Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
Ground Truth,663.0400298448277,5249.78,1.0,1.0,1.0,1.0
KCFRC conv,1.5435975560344826,3.5362,0.9777816091954022,0.9994726265923495,0.9347421233895999,0.9660242382697497
KCFRC keypoint,29.43327539655172,52.0914,0.993713601532567,0.998878962536023,0.9824992559207449,0.9906214051458662
RRT-C(1ms),541.6885351439655,1940.65,0.9955727969348659,0.9985594368343124,0.9883243335175815,0.9934155229544955
RRT-C(50us),495.6341227913793,1763.01,0.9936954022988506,0.9985283317733458,0.9827912184474964,0.9905972771817545
STOMP,797.4602202103447,3826.03,0.9848180076628352,0.9989722446827731,0.9560553878424536,0.9770427598513356
FEC,4.142404264655172,17.4486,0.9209061302681992,0.9999925984863904,0.7659424295250649,0.8674574638844302
