Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
Ground Truth,399.6378827160494,3175.46,1.0,1.0,1.0,1.0
KCFRC keypoint,55.50747469135801,102.299,0.9968689986282578,0.9998452286194393,0.98035857523793,0.9900060204695966
KCFRC conv,1.5743730771604938,2.94739,0.9961728395061729,0.9998445308162132,0.9759576820517267,0.9877567140600315
RRT-Connect,101.12765432098766,579.345,0.9954320987654321,0.9998214724063288,0.9712966375441715,0.9853526578548021
STOMP,72.69581172839507,474.584,0.9979869684499314,0.9998902305159165,0.9873826609144319,0.9935970854194618
FEC,5.811766728395062,20.5167,0.9833470507544582,0.9998788789031273,0.8948338283434865,0.9444444444444443
