normalTime ,criticalTime ,miscTime ,totTime  ,minCostFunctional ,optRetType
  0.00156  ,    4.29047  ,       0 ,4.29203  ,inf               ,-1009
  0.010951 ,    6.92747  ,       0 ,6.93842  ,inf               ,-1009
  0.002988 ,    0.099544 ,       0 ,0.102532 ,0.014198          ,1
  0.001582 ,    0.113231 ,       0 ,0.114813 ,0.0130466         ,1
  0.004787 ,    0.836012 ,       0 ,0.840799 ,0.0173538         ,1
  0.002378 ,    0.160779 ,       0 ,0.163157 ,0.0154249         ,1
  0.001891 ,    0.834713 ,       0 ,0.836604 ,0.0186806         ,1
  0.004882 ,    0.251512 ,       0 ,0.256394 ,0.0146151         ,1
  0.002152 ,    0.22628  ,       0 ,0.228432 ,0.0143473         ,1
  0.001762 ,    0.194139 ,       0 ,0.195901 ,0.0153042         ,1
  0.005728 ,    1.09077  ,       0 ,1.0965   ,0.0190377         ,1
  0.001972 ,    0.149539 ,       0 ,0.151511 ,0.0181265         ,1
  0.001471 ,    0.191127 ,       0 ,0.192598 ,0.0144089         ,1
  0.009822 ,    0.590602 ,       0 ,0.600424 ,0.0142816         ,1
  0.004513 ,    0.351197 ,       0 ,0.35571  ,0.0136675         ,1
  0.004451 ,    0.808603 ,       0 ,0.813054 ,0.0187581         ,1
  0.003532 ,    0.193732 ,       0 ,0.197264 ,0.0138418         ,1
  0.001707 ,    0.149362 ,       0 ,0.151069 ,0.0111998         ,1
  0.002243 ,    1.2347   ,       0 ,1.23695  ,0.0174951         ,1
  0.012754 ,    0.704752 ,       0 ,0.717506 ,0.013957          ,1
  0.006958 ,    1.88043  ,       0 ,1.88739  ,0.0190178         ,1
  0.001504 ,    0.437919 ,       0 ,0.439423 ,0.0371291         ,1
  0.005064 ,    0.159513 ,       0 ,0.164577 ,0.0143618         ,1
  0.001775 ,    0.14666  ,       0 ,0.148435 ,0.0142411         ,1
  0.001189 ,    0.194157 ,       0 ,0.195346 ,0.0168423         ,1
