Planner,Ave.Time(ms),Max.Time(ms),Accuracy,Precision,Recall,F1
Ground Truth,966.1154935763888,8439.08,1.0,1.0,1.0,1.0
KCFRC keypoint,90.46676631944445,250.615,0.9933545524691358,0.998754942500981,0.9758181643922471,0.9871533358442441
KCFRC conv,2.544859590277778,6.30498,0.9917534722222222,0.9994601006798169,0.9690059643612825,0.9839974545658725
RRT-Connect,295.1925362326389,2067.99,0.9892611882716049,0.9988188372449762,0.9600925987363517,0.979072923362617
STOMP,372.8513954340278,2235.5,0.9887635030864198,0.9991617448012797,0.9578587279469769,0.9780743852358745
FEC,10.526903472222223,14.4657,0.944585262345679,0.9997102099575598,0.788438428475586,0.8815933194016808
